year,sex,name,n,prop
2014,F,Deborah,369,0.0001894685279425
2014,F,Betty,193,9.90987151569174e-05
2015,F,Ashley,3409,0.00176165787043521
2015,F,Jessica,1577,0.000814941173856356
2015,F,Amanda,1013,0.000523484723599549
2015,F,Helen,757,0.000391192434121282
2015,F,Linda,423,0.000218592337692605
2015,F,Dorothy,395,0.00020412286853092
2015,F,Deborah,346,0.00017880129749797
2015,F,Patricia,346,0.00017880129749797
2015,F,Betty,186,9.61186165740535e-05
